Pin,Signal,Inductance_nH,Capacitance_pF,Delay_ps
A1,PDR_ON,2.79,0.884,49.661
A2,OTG2_HSDM,2.894,0.907,51.226
A3,NC,3.026,0.897,52.101
A4,VDD33USB,1.346,1.759,48.658
A5,OTG1_HSDM,2.262,0.711,40.094
A6,UCPD1_CC1,2.183,0.685,38.675
A7,PH1-OSC_OUT,1.998,0.684,36.964
A8,PC6,2.307,0.695,40.046
A9,PC7,2.13,0.703,38.692
A10,PE6,2.346,0.731,41.403
A11,PD6,2.614,0.804,45.836
A12,PD0,2.908,0.922,51.776
A13,PD3,3.172,0.97,55.483
A14,VSS,0.046,58.495,52.064
B1,PC14,2.793,0.876,49.462
B2,OTG2_HSDP,2.677,0.89,48.821
B3,OTG1_ID,2.639,0.924,49.376
B4,OTG2_TXRTUNE,1.941,0.669,36.049
B5,OTG1_HSDP,2.207,0.696,39.191
B6,UCPD1_CC2,1.665,0.613,31.952
B7,PH0-OSC_IN,1.582,0.568,29.985
B8,PC1,1.982,0.651,35.924
B9,PE11,1.847,0.59,33.018
B10,PE15,2.157,0.666,37.908
B11,PD7,2.215,0.72,39.934
B12,PD1,2.146,0.737,39.769
B13,PD4,2.802,0.874,49.494
B14,PE9,3.05,0.943,53.644
C1,PC15-OSC32_OUT,2.788,0.87,49.257
C2,VBAT,2.11,0.774,40.407
C3,PC13,1.901,0.701,36.509
C4,NC,1.477,0.658,31.168
C5,OTG2_ID,1.265,0.537,26.065
C6,PC8,2.797,0.814,47.729
C7,PC11,2.052,0.609,35.356
C8,PH9,1.474,0.525,27.813
C9,PE14,1.582,0.603,30.89
C10,PE13,1.579,0.52,28.66
C11,PD10,1.724,0.612,32.489
C12,PD15,2.107,0.708,38.637
C13,PE8,2.451,0.773,43.533
C14,PE10,2.737,0.862,48.562
D1,V08CAP,2.209,0.8,42.041
D2,VFBSMPS,2.669,0.898,48.949
D3,BOOT0,1.459,0.491,26.777
D4,VDDA18USB,1.107,1.38,39.093
D5,OTG1_TXRTUNE,2.055,0.696,37.806
D6,PC9,2.959,0.859,50.402
D7,PC12,1.824,0.58,32.529
D8,PC10,0.924,0.415,19.581
D9,PE5,1.376,0.535,27.141
D10,PE12,1.227,0.504,24.856
D11,PE7,1.39,0.517,26.81
D12,PD14,1.715,0.576,31.413
D13,PD8,2.038,0.655,36.541
D14,PD5,2.558,0.791,44.974
E1,VDDA18PMU,2.027,0.757,39.167
E2,VSSAPMU,1.583,0.645,31.942
E3,PWR_ON,1.204,0.47,23.794
E4,NRST,0.898,0.41,19.192
E5,VDDA18AON,0.281,4.532,35.69
E6,PH2,2.586,0.732,43.522
E8,VDDIO4,0.196,0.708,11.767
E10,PD2,0.786,0.401,17.756
E11,PD12,0.99,0.411,20.18
E12,PB3,1.732,0.615,32.626
E13,PB2,2.019,0.666,36.656
E14,PD13,2.575,0.812,45.736
F1,VSSSMPS,0.317,1.553,22.188
F5,VSSAON,0.936,0.457,20.678
F11,PD11,1.762,0.654,33.936
F12,PE0,1.586,0.625,31.493
F13,PE1,1.683,0.606,31.94
F14,PE2,2.121,0.693,38.331
G1,VLXSMPS,0.273,1.437,19.818
G10,VDD,0.395,3.614,37.779
G13,PE3,1.577,0.559,29.681
G14,PB0,1.936,0.655,35.611
H1,VDDSMPS,0.264,1.433,19.442
H12,PD9,0.916,0.423,19.686
H13,PB7,1.487,0.557,28.777
H14,PB6,2.015,0.682,37.085
J1,PF4,1.762,0.622,33.101
J2,PF6,1.603,0.567,30.151
J3,PF10,1.138,0.43,22.119
J4,PF5,0.678,0.298,14.201
J5,PF3,0.907,0.435,19.873
J10,VDDIO3,0.53,1.583,28.956
J12,PN12,4.208,1.211,71.388
J13,PN4,2.346,0.698,40.469
J14,PN8,3.919,1.097,65.579
K1,PF2,2.15,0.683,38.314
K2,PF14,1.753,0.591,32.204
K3,PF15,1.272,0.472,24.493
K4,PF7,1.05,0.452,21.794
K6,VDDCORE,0.081,6.305,22.612
K11,PA3,2.747,0.911,50.041
K12,PN6,2.077,0.703,38.226
K13,PN7,2.776,0.828,47.95
K14,PN5,2.641,0.776,45.27
L1,PF8,2.243,0.694,39.469
L2,PF11,1.908,0.614,34.244
L3,PF12,1.404,0.473,25.767
L4,VDDA18PLL,3.343,1.393,68.255
L5,PG14,2.257,0.725,40.461
L6,PA12,1.335,0.537,26.781
L8,PA6,1.231,0.542,25.841
L9,PA1,1.96,0.663,36.054
L10,PB11,2.297,0.719,40.632
L11,PB4,2.864,0.831,48.798
L12,PG8,2.902,0.904,51.211
L13,PN2,2.336,0.703,40.521
L14,PN9,3.226,0.925,54.637
M1,VREFP,2.652,0.871,48.057
M2,PF13,2.045,0.617,35.518
M3,VDDA18ADC,1.123,1.118,35.44
M4,VSSA,1.033,0.976,31.742
M5,PG15,2.12,0.715,38.924
M6,PA11,1.414,0.52,27.122
M7,PA9,1.132,0.44,22.317
M8,PA5,1.516,0.586,29.811
M9,PG1,1.931,0.655,35.562
M10,PB12,2.193,0.68,38.607
M11,PB5,2.716,0.815,47.054
M12,PG0,2.79,0.811,47.563
M13,PN0,3.065,0.842,50.788
M14,PN10,3.031,0.888,51.883
N1,VREFM,2.44,0.857,45.72
N2,CSI_D1N,2.302,0.836,43.868
N3,CSI_CKN,2.325,0.802,43.183
N4,CSI_D0N,2.183,0.747,40.392
N5,CSI_REXT,1.929,0.685,36.34
N6,VDDCSI,1.488,0.63,30.609
N7,PA10,1.702,0.578,31.38
N8,PA2,1.861,0.675,35.447
N9,PG12,2.067,0.646,36.532
N10,PG10,2.347,0.769,42.493
N11,PG2,2.558,0.806,45.411
N12,PA15,2.854,0.814,48.196
N13,PN3,4.025,1.156,68.203
N14,PN11,2.794,0.919,50.668
P2,CSI_D1P,2.407,0.84,44.973
P3,CSI_CKP,2.327,0.819,43.639
P4,CSI_D0P,2.18,0.772,41.035
P5,VDDA18CSI,1.983,0.768,39.027
P6,PA14,1.904,0.663,35.532
P7,PA13,2.264,0.732,40.707
P8,PA8,2.117,0.669,37.64
P9,PG13,2.264,0.69,39.513
P10,PA0,2.573,0.762,44.283
P11,PB10,2.606,0.795,45.51
P12,PA7,3.138,0.876,52.421
P13,PN1,3.535,0.981,58.875
